isbn,bookid,bookname,author,publish,releaseDate
2001·90,B_1957_000010,什么是物质，物质的构造怎样,[苏]乌约莫夫　著,人民出版社,-397209600000
4001·223,B_1957_000101,苏联国民经济建设计划文件汇编　第三、四、五个五年计划,人民出版社　编辑,人民出版社,-405158400000
4001·219,B_1957_000102,苏联国民经济建设计划文件汇编　第二个五年计划,人民出版社　编辑,人民出版社,-405158400000
4002·93,B_1957_000124,资本,托克马拉耶夫（C ．Ф．Токмалаев）　著,生活·读书·新知三联书店,-410256000000
3002·40,B_1957_000131,法国工人运动史（第一卷：自运动的起源至里昂丝织工人的起义）,[法]让·勃吕阿　著,生活·读书·新知三联书店,-391939200000
4002·104,B_1957_000133,德意志民主共和国从资本主义到社会主义的过渡时期,[德]弗·厄斯纳　著,生活·读书·新知三联书店,-399888000000
2002·86,B_1957_000144,马克思“资本论”中的辩证法问题,[苏]罗森塔尔　著,生活·读书·新知三联书店,-391939200000
2002·77,B_1957_000153,普列汉诺夫的哲学观点,[苏]福米娜　著,生活·读书·新知三联书店,-389260800000
4002·95,B_1957_000155,马克思列宁主义的农业危机理论问题,[苏]留波希茨　著,生活·读书·新知三联书店,-402480000000
4002·119,B_1957_000191,苏联工业史纲要（1917-1940）,[苏]洛克申　著,生活·读书·新知三联书店,-383990400000
4002·120,B_1957_000192,商业资本和商业利润,格里果良　著,生活·读书·新知三联书店,-381398400000
3002·42,B_1957_000230,社会主义与政治斗争,普列汉诺夫　著,三联书店,-383990400000
3001·508,B_1957_000239,苏联共产党代表大会、代表会议和中央全会决议汇编（第四分册）,中共中央马克思恩格斯列宁斯大林著作编译局　译,人民出版社,-389260800000
4001·233,B_1958_000132,苏联关于进一步改进工业和建筑业管理组织的文件,,人民出版社,-373622400000
4002·137,B_1958_000191,资本和劳动,[俄]车尔尼雪夫斯基　著,生活 ·读书· 新知三联书店,-365673600000
11002·214,B_1958_000192,一个布尔什维克的道路（奥尔忠尼启则传略）,[苏]兹·奥尔忠尼启则　著,生活·读书·新知三联书店,-363081600000
